"hotel","arrival_date_month","arrival_date_year","num_booking","num_cancel","distribution_channel","customer_type"
"City Hotel","December",2016,"149","11","TA/TO","Transient-Party"
"City Hotel","January",2017,"1","0","Corporate","Transient"
"City Hotel","December",2015,"2","0","Corporate","Transient"
"Resort Hotel","September",2016,"103","10","TA/TO","Transient-Party"
"City Hotel","October",2016,"1","0","TA/TO","Transient-Party"
"Resort Hotel","July",2017,"4","2","TA/TO","Transient"
"City Hotel","October",2016,"377","376","TA/TO","Transient"
"Resort Hotel","July",2017,"3","0","Direct","Transient-Party"
"City Hotel","January",2017,"1","0","Direct","Transient"
"Resort Hotel","June",2016,"1","0","Corporate","Group"
"Resort Hotel","December",2015,"3","0","TA/TO","Group"
"Resort Hotel","February",2016,"11","4","Corporate","Transient-Party"
"Resort Hotel","March",2017,"1","0","Direct","Transient"
"City Hotel","November",2015,"4","1","TA/TO","Contract"
"Resort Hotel","August",2015,"40","15","TA/TO","Transient-Party"
"City Hotel","December",2015,"467","311","TA/TO","Transient"
"Resort Hotel","February",2016,"159","157","TA/TO","Transient"
"Resort Hotel","March",2016,"243","19","Direct","Transient"
"City Hotel","March",2017,"14","2","TA/TO","Contract"
"City Hotel","May",2017,"2","0","Direct","Transient"
"City Hotel","July",2016,"66","7","TA/TO","Transient-Party"
"Resort Hotel","April",2017,"1","0","TA/TO","Group"
"City Hotel","October",2016,"1","0","TA/TO","Transient"
"Resort Hotel","January",2016,"136","8","TA/TO","Transient"
"Resort Hotel","July",2017,"1017","490","TA/TO","Transient"
"City Hotel","June",2016,"7","0","Corporate","Transient"
"City Hotel","November",2015,"3","1","Direct","Group"
"City Hotel","February",2017,"3","0","TA/TO","Transient-Party"
"City Hotel","June",2016,"20","3","Direct","Transient-Party"
"Resort Hotel","March",2017,"4","0","TA/TO","Group"
"City Hotel","May",2016,"207","39","Direct","Transient"
"City Hotel","November",2016,"7","3","Corporate","Transient"
"City Hotel","December",2016,"28","0","TA/TO","Transient-Party"
"City Hotel","June",2017,"7","0","TA/TO","Group"
"Resort Hotel","March",2017,"266","96","TA/TO","Transient-Party"
"City Hotel","September",2016,"365","363","TA/TO","Transient"
"City Hotel","October",2015,"161","161","TA/TO","Contract"
"Resort Hotel","May",2017,"8","0","Direct","Transient-Party"
"Resort Hotel","March",2017,"1","0","Corporate","Group"
"City Hotel","April",2017,"2","0","GDS","Transient"
"Resort Hotel","April",2017,"6","0","Corporate","Transient"
"City Hotel","October",2016,"3","0","Direct","Transient"
"Resort Hotel","September",2016,"25","5","Corporate","Transient"
"Resort Hotel","January",2016,"1","0","Corporate","Transient"
"Resort Hotel","February",2017,"6","2","Direct","Transient"
"City Hotel","March",2017,"417","197","TA/TO","Transient"
"City Hotel","August",2017,"1","0","Corporate","Group"
"City Hotel","June",2016,"3","0","TA/TO","Contract"
"City Hotel","April",2016,"3","1","Corporate","Transient"
"City Hotel","April",2017,"2125","1008","TA/TO","Transient"
"City Hotel","August",2015,"1","0","TA/TO","Transient"
"City Hotel","September",2015,"380","372","TA/TO","Transient"
"Resort Hotel","October",2016,"47","44","TA/TO","Transient"
"Resort Hotel","August",2015,"18","8","Corporate","Transient"
"City Hotel","July",2016,"38","6","Corporate","Transient-Party"
"City Hotel","January",2017,"6","1","Corporate","Transient-Party"
"Resort Hotel","February",2016,"4","0","TA/TO","Group"
"Resort Hotel","June",2017,"1","0","TA/TO","Transient"
"City Hotel","November",2016,"24","2","Direct","Transient"
"Resort Hotel","August",2015,"2","0","TA/TO","Transient"
"City Hotel","January",2016,"50","4","Corporate","Transient"
"City Hotel","March",2017,"1","0","TA/TO","Group"
"Resort Hotel","June",2017,"230","38","Direct","Transient"
"City Hotel","August",2015,"100","92","TA/TO","Transient"
"Resort Hotel","April",2017,"3","0","TA/TO","Group"
"City Hotel","October",2016,"616","217","TA/TO","Transient-Party"
"Resort Hotel","August",2017,"7","1","Direct","Transient"
"Resort Hotel","February",2016,"235","17","TA/TO","Transient"
"City Hotel","September",2016,"1764","657","TA/TO","Transient"
"Resort Hotel","April",2017,"178","21","Direct","Transient"
"Resort Hotel","October",2016,"1","1","TA/TO","Transient"
"City Hotel","October",2016,"1","0","TA/TO","Transient"
"City Hotel","September",2015,"272","203","TA/TO","Transient"
"Resort Hotel","September",2015,"132","131","Corporate","Transient"
"Resort Hotel","August",2017,"2","0","Corporate","Transient"
"City Hotel","January",2016,"13","0","Direct","Transient-Party"
"Resort Hotel","July",2016,"1","0","TA/TO","Group"
"City Hotel","November",2016,"1","0","TA/TO","Group"
"City Hotel","August",2017,"44","1","Corporate","Transient"
"City Hotel","January",2017,"2","0","TA/TO","Group"
"Resort Hotel","August",2016,"6","0","TA/TO","Transient"
"Resort Hotel","October",2016,"130","28","TA/TO","Transient-Party"
"City Hotel","January",2016,"81","13","TA/TO","Transient-Party"
"City Hotel","April",2016,"1693","646","TA/TO","Transient"
"Resort Hotel","July",2017,"3","0","Direct","Group"
"Resort Hotel","May",2017,"129","19","TA/TO","Transient-Party"
"City Hotel","March",2016,"1","0","Direct","Contract"
"City Hotel","September",2016,"91","14","Corporate","Transient"
"Resort Hotel","January",2017,"3","0","TA/TO","Transient"
"Resort Hotel","August",2016,"1","0","Corporate","Transient"
"Resort Hotel","February",2016,"28","0","TA/TO","Transient-Party"
"Resort Hotel","March",2017,"1","0","Corporate","Group"
"City Hotel","November",2016,"117","13","Corporate","Transient"
"City Hotel","October",2016,"2","2","TA/TO","Contract"
"City Hotel","September",2016,"63","13","TA/TO","Transient-Party"
"City Hotel","June",2017,"2","0","TA/TO","Transient"
"City Hotel","May",2017,"1","0","Corporate","Transient"
"Resort Hotel","December",2015,"211","24","Direct","Transient"
"City Hotel","November",2015,"81","26","Corporate","Transient"
"Resort Hotel","October",2016,"42","4","Corporate","Transient"
"Resort Hotel","May",2016,"2","2","Corporate","Transient"
"City Hotel","September",2015,"52","8","Corporate","Transient-Party"
"City Hotel","March",2016,"473","218","TA/TO","Transient"
"City Hotel","February",2016,"1","0","Direct","Transient-Party"
"City Hotel","May",2016,"22","7","Corporate","Transient"
"City Hotel","July",2016,"72","4","Corporate","Transient"
"City Hotel","October",2015,"20","7","Direct","Transient"
"City Hotel","January",2016,"1","0","Corporate","Transient-Party"
"City Hotel","March",2017,"245","30","Direct","Transient"
"City Hotel","February",2016,"2","0","Direct","Transient"
"City Hotel","October",2016,"116","67","TA/TO","Transient-Party"
"City Hotel","May",2016,"516","302","TA/TO","Transient"
"Resort Hotel","July",2016,"12","6","Corporate","Transient-Party"
"City Hotel","February",2017,"13","2","Direct","Transient"
"City Hotel","June",2017,"63","4","Corporate","Transient"
"City Hotel","July",2015,"156","128","TA/TO","Transient"
"City Hotel","July",2017,"1","0","TA/TO","Group"
"City Hotel","September",2015,"2","0","Corporate","Group"
"Resort Hotel","March",2016,"2","0","TA/TO","Group"
"Resort Hotel","December",2015,"172","63","TA/TO","Transient-Party"
"Resort Hotel","February",2017,"1","0","Corporate","Transient-Party"
"City Hotel","November",2016,"1","1","GDS","Transient"
"Resort Hotel","May",2016,"98","3","TA/TO","Contract"
"Resort Hotel","December",2016,"17","2","TA/TO","Transient-Party"
"Resort Hotel","June",2016,"148","6","TA/TO","Contract"
"City Hotel","August",2015,"30","6","TA/TO","Transient"
"City Hotel","July",2016,"1718","610","TA/TO","Transient"
"City Hotel","November",2016,"1","1","Corporate","Transient"
"Resort Hotel","October",2016,"5","0","TA/TO","Transient-Party"
"Resort Hotel","July",2017,"1","1","Direct","Transient"
"Resort Hotel","May",2016,"5","0","Direct","Transient"
"City Hotel","October",2015,"20","20","Direct","Transient"
"Resort Hotel","April",2017,"1","0","Corporate","Transient-Party"
"Resort Hotel","January",2016,"5","0","Direct","Transient"
"City Hotel","September",2015,"93","37","Corporate","Transient"
"Resort Hotel","June",2017,"5","1","Direct","Transient"
"Resort Hotel","August",2015,"3","0","Corporate","Transient"
"Resort Hotel","October",2016,"5","0","TA/TO","Group"
"City Hotel","August",2017,"2007","911","TA/TO","Transient"
"City Hotel","May",2016,"4","1","Direct","Transient-Party"
"Resort Hotel","October",2015,"3","0","TA/TO","Transient"
"Resort Hotel","January",2016,"4","0","Direct","Transient"
"City Hotel","August",2016,"10","1","Direct","Transient"
"Resort Hotel","April",2017,"5","0","Direct","Transient-Party"
"Resort Hotel","May",2017,"15","2","TA/TO","Transient-Party"
"City Hotel","April",2017,"1","0","GDS","Transient"
"Resort Hotel","August",2016,"4","1","Direct","Group"
"City Hotel","February",2016,"130","72","Corporate","Transient-Party"
"City Hotel","April",2017,"65","41","Corporate","Transient"
"Resort Hotel","December",2015,"26","25","TA/TO","Transient"
"Resort Hotel","September",2016,"76","71","TA/TO","Transient"
"City Hotel","July",2017,"1","0","Corporate","Group"
"Resort Hotel","August",2017,"1068","555","TA/TO","Transient"
"City Hotel","September",2015,"10","10","Corporate","Transient-Party"
"Resort Hotel","October",2015,"54","9","Corporate","Transient"
"City Hotel","September",2016,"4","0","TA/TO","Transient-Party"
"City Hotel","January",2017,"1253","537","TA/TO","Transient"
"City Hotel","October",2015,"24","0","Corporate","Transient-Party"
"Resort Hotel","October",2016,"1","0","TA/TO","Group"
"City Hotel","June",2017,"1","1","TA/TO","Transient"
"City Hotel","March",2016,"6","0","Direct","Transient-Party"
"Resort Hotel","October",2015,"7","0","Direct","Transient"
"Resort Hotel","January",2017,"4","0","Direct","Transient"
"City Hotel","August",2017,"1","0","Direct","Transient"
"Resort Hotel","May",2016,"1","0","TA/TO","Transient-Party"
"City Hotel","July",2016,"206","204","TA/TO","Transient"
"City Hotel","August",2015,"1","1","Direct","Contract"
"Resort Hotel","October",2016,"33","3","TA/TO","Contract"
"City Hotel","August",2016,"272","50","Direct","Transient"
"Resort Hotel","May",2017,"8","8","Corporate","Transient"
"Resort Hotel","June",2016,"2","0","Direct","Transient"
"Resort Hotel","June",2016,"170","29","Direct","Transient"
"City Hotel","December",2015,"12","3","TA/TO","Group"
"Resort Hotel","April",2017,"1","0","TA/TO","Transient-Party"
"Resort Hotel","November",2016,"164","13","Direct","Transient"
"Resort Hotel","July",2015,"6","0","Direct","Transient"
"Resort Hotel","January",2017,"228","18","Direct","Transient"
"Resort Hotel","February",2017,"4","0","TA/TO","Group"
"Resort Hotel","July",2016,"49","2","TA/TO","Transient-Party"
"City Hotel","November",2016,"21","4","GDS","Transient"
"City Hotel","February",2016,"106","19","TA/TO","Transient-Party"
"City Hotel","August",2015,"230","33","TA/TO","Contract"
"Resort Hotel","May",2016,"45","14","TA/TO","Transient-Party"
"Resort Hotel","November",2015,"13","2","TA/TO","Contract"
"Resort Hotel","September",2016,"76","2","Direct","Transient-Party"
"Resort Hotel","August",2015,"82","7","TA/TO","Contract"
"Resort Hotel","April",2017,"82","5","TA/TO","Contract"
"City Hotel","September",2015,"13","2","TA/TO","Group"
"City Hotel","March",2017,"1","0","Direct","Transient"
"Resort Hotel","February",2017,"4","2","Direct","Transient"
"Resort Hotel","May",2016,"594","200","TA/TO","Transient"
"City Hotel","February",2017,"1","0","TA/TO","Group"
"City Hotel","March",2017,"1890","702","TA/TO","Transient"
"Resort Hotel","February",2017,"4","0","Direct","Group"
"Resort Hotel","October",2015,"34","0","TA/TO","Transient-Party"
"Resort Hotel","March",2016,"13","5","TA/TO","Contract"
"Resort Hotel","May",2016,"1","1","Corporate","Transient-Party"
"City Hotel","September",2016,"3","0","TA/TO","Group"
"Resort Hotel","June",2017,"64","8","TA/TO","Transient-Party"
"Resort Hotel","August",2017,"1","0","Direct","Transient"
"Resort Hotel","October",2015,"2","0","TA/TO","Group"
"Resort Hotel","August",2017,"11","0","TA/TO","Transient"
"City Hotel","July",2016,"187","25","TA/TO","Transient-Party"
"City Hotel","April",2016,"4","1","Corporate","Transient-Party"
"City Hotel","May",2017,"2","0","Corporate","Transient"
"City Hotel","November",2016,"6","1","Corporate","Transient-Party"
"Resort Hotel","August",2016,"283","59","Direct","Transient"
"Resort Hotel","December",2016,"2","0","Direct","Group"
"Resort Hotel","August",2017,"2","0","Direct","Group"
"City Hotel","December",2015,"2","0","Direct","Transient"
"City Hotel","November",2015,"17","4","Direct","Transient"
"City Hotel","October",2015,"3","0","Corporate","Group"
"Resort Hotel","November",2016,"1","0","Direct","Transient"
"Resort Hotel","July",2016,"2","0","Direct","Transient"
"Resort Hotel","October",2016,"17","0","Corporate","Transient"
"Resort Hotel","April",2016,"216","23","Direct","Transient"
"City Hotel","May",2017,"42","42","Direct","Transient"
"City Hotel","October",2016,"15","2","Direct","Transient"
"Resort Hotel","October",2015,"413","73","TA/TO","Transient"
"Resort Hotel","August",2017,"2","0","Direct","Transient-Party"
"Resort Hotel","January",2017,"16","0","TA/TO","Transient"
"Resort Hotel","June",2016,"3","0","TA/TO","Transient"
"Resort Hotel","June",2016,"1","0","TA/TO","Transient"
"Resort Hotel","June",2016,"1","0","Direct","Group"
"City Hotel","April",2017,"1","0","TA/TO","Group"
"City Hotel","August",2017,"27","27","TA/TO","Transient"
"City Hotel","May",2016,"74","10","Corporate","Transient"
"City Hotel","October",2015,"305","299","TA/TO","Transient"
"City Hotel","May",2017,"11","3","GDS","Transient"
"Resort Hotel","January",2016,"2","0","Direct","Group"
"Resort Hotel","September",2016,"2","0","Corporate","Transient"
"City Hotel","September",2015,"1","0","GDS","Transient"
"Resort Hotel","January",2017,"3","2","Direct","Transient"
"City Hotel","October",2015,"3","0","TA/TO","Transient"
"Resort Hotel","April",2016,"292","78","TA/TO","Transient-Party"
"City Hotel","June",2016,"136","21","TA/TO","Transient-Party"
"City Hotel","August",2017,"3","0","TA/TO","Group"
"Resort Hotel","November",2015,"2","0","TA/TO","Group"
"Resort Hotel","December",2016,"4","0","Direct","Group"
"Resort Hotel","January",2017,"3","0","TA/TO","Contract"
"City Hotel","June",2017,"2","0","Direct","Transient"
"Resort Hotel","January",2017,"1","0","Direct","Transient-Party"
"Resort Hotel","February",2017,"7","0","TA/TO","Transient"
"Resort Hotel","February",2017,"267","35","Direct","Transient"
"City Hotel","June",2016,"5","1","Corporate","Transient"
"City Hotel","August",2015,"404","238","TA/TO","Transient-Party"
"Resort Hotel","March",2017,"2","0","Direct","Transient"
"City Hotel","May",2017,"1","0","TA/TO","Transient"
"Resort Hotel","July",2015,"25","25","TA/TO","Transient"
"City Hotel","September",2016,"2","1","Direct","Group"
"Resort Hotel","July",2016,"24","6","Corporate","Transient"
"Resort Hotel","November",2016,"5","2","Direct","Transient-Party"
"Resort Hotel","July",2015,"1","0","Undefined","Transient"
"City Hotel","September",2015,"5","0","Direct","Transient"
"Resort Hotel","January",2017,"3","0","Direct","Transient"
"Resort Hotel","February",2016,"91","3","Corporate","Transient"
"City Hotel","February",2016,"40","1","TA/TO","Transient-Party"
"City Hotel","January",2016,"184","55","TA/TO","Transient-Party"
"Resort Hotel","July",2017,"2","0","Direct","Transient"
"Resort Hotel","July",2015,"14","1","Direct","Transient-Party"
"City Hotel","October",2015,"934","296","TA/TO","Transient-Party"
"City Hotel","February",2016,"11","2","Direct","Transient"
"City Hotel","November",2015,"186","57","TA/TO","Contract"
"Resort Hotel","November",2015,"1","0","TA/TO","Group"
"Resort Hotel","February",2016,"22","0","TA/TO","Transient-Party"
"City Hotel","March",2016,"1","0","Corporate","Transient"
"Resort Hotel","September",2015,"7","1","TA/TO","Group"
"City Hotel","August",2017,"83","0","TA/TO","Transient-Party"
"Resort Hotel","April",2016,"2","0","TA/TO","Group"
"City Hotel","November",2016,"5","1","Corporate","Transient-Party"
"Resort Hotel","September",2016,"1","0","TA/TO","Group"
"City Hotel","January",2016,"9","0","Direct","Transient-Party"
"City Hotel","September",2015,"160","160","TA/TO","Contract"
"Resort Hotel","December",2015,"26","25","Direct","Transient"
"City Hotel","February",2017,"8","4","TA/TO","Contract"
"City Hotel","March",2016,"4","0","TA/TO","Contract"
"Resort Hotel","February",2017,"56","54","TA/TO","Transient"
"City Hotel","July",2015,"4","0","Direct","Transient"
"Resort Hotel","June",2017,"821","417","TA/TO","Transient"
"City Hotel","May",2016,"68","9","Corporate","Transient-Party"
"City Hotel","May",2016,"20","7","TA/TO","Contract"
"Resort Hotel","April",2017,"67","17","Corporate","Transient"
"City Hotel","July",2016,"5","1","GDS","Transient"
"City Hotel","December",2016,"2","0","TA/TO","Group"
"City Hotel","February",2016,"215","120","TA/TO","Transient-Party"
"City Hotel","August",2017,"1","0","Direct","Transient"
"Resort Hotel","November",2015,"310","62","TA/TO","Transient"
"Resort Hotel","May",2017,"22","9","Corporate","Transient-Party"
"Resort Hotel","December",2015,"4","0","Direct","Transient-Party"
"City Hotel","March",2016,"6","0","GDS","Transient"
"Resort Hotel","December",2015,"12","0","TA/TO","Transient-Party"
"City Hotel","February",2016,"906","295","TA/TO","Transient"
"Resort Hotel","April",2017,"26","13","Corporate","Transient-Party"
"City Hotel","April",2016,"190","46","TA/TO","Transient-Party"
"City Hotel","October",2016,"227","57","Direct","Transient"
"City Hotel","August",2016,"3","0","Direct","Transient"
"Resort Hotel","March",2017,"2","0","TA/TO","Group"
"City Hotel","March",2016,"2","0","Direct","Group"
"City Hotel","November",2016,"1","0","Corporate","Group"
"City Hotel","October",2016,"4","0","TA/TO","Group"
"City Hotel","June",2016,"1","0","TA/TO","Group"
"City Hotel","December",2016,"12","4","Direct","Transient-Party"
"Resort Hotel","January",2017,"1","0","Corporate","Transient"
"Resort Hotel","April",2017,"32","28","TA/TO","Transient"
"Resort Hotel","July",2016,"1","1","Corporate","Transient"
"City Hotel","September",2016,"40","0","Direct","Transient-Party"
"City Hotel","November",2016,"19","3","Direct","Transient-Party"
"Resort Hotel","May",2017,"1","0","TA/TO","Transient"
"Resort Hotel","July",2015,"23","0","TA/TO","Transient-Party"
"Resort Hotel","December",2016,"5","1","TA/TO","Transient-Party"
"Resort Hotel","November",2015,"1","0","Direct","Transient"
"Resort Hotel","March",2016,"1","0","TA/TO","Transient"
"City Hotel","May",2017,"5","2","GDS","Transient"
"Resort Hotel","December",2016,"3","0","Direct","Transient"
"Resort Hotel","May",2017,"141","8","TA/TO","Contract"
"City Hotel","July",2017,"313","38","Direct","Transient"
"City Hotel","March",2017,"1","0","TA/TO","Group"
"Resort Hotel","October",2015,"18","1","Corporate","Contract"
"City Hotel","February",2016,"214","29","Direct","Transient"
"City Hotel","August",2015,"1","0","Direct","Contract"
"Resort Hotel","November",2016,"615","172","TA/TO","Transient"
"City Hotel","March",2017,"2","0","Corporate","Transient"
"Resort Hotel","March",2016,"36","0","TA/TO","Transient-Party"
"Resort Hotel","October",2015,"183","70","TA/TO","Transient"
"City Hotel","February",2016,"1","0","TA/TO","Transient"
"City Hotel","November",2016,"94","2","Corporate","Transient"
"City Hotel","July",2016,"1","1","TA/TO","Contract"
"Resort Hotel","July",2017,"85","12","TA/TO","Contract"
"Resort Hotel","November",2016,"2","0","TA/TO","Group"
"City Hotel","March",2016,"177","28","Direct","Transient"
"Resort Hotel","August",2017,"2","0","Direct","Transient"
"Resort Hotel","April",2017,"5","0","TA/TO","Transient"
"Resort Hotel","April",2016,"80","7","Corporate","Transient"
"Resort Hotel","June",2016,"12","0","Direct","Transient-Party"
"City Hotel","August",2015,"180","180","TA/TO","Contract"
"Resort Hotel","October",2016,"103","32","TA/TO","Transient-Party"
"City Hotel","May",2016,"42","10","TA/TO","Transient-Party"
"Resort Hotel","May",2016,"6","1","Corporate","Transient"
"City Hotel","November",2016,"60","3","TA/TO","Transient-Party"
"City Hotel","July",2016,"26","10","TA/TO","Contract"
"Resort Hotel","November",2016,"16","3","Direct","Transient-Party"
"City Hotel","January",2016,"4","1","Corporate","Transient"
"City Hotel","June",2017,"1997","791","TA/TO","Transient"
"Resort Hotel","October",2015,"122","81","Direct","Transient"
"City Hotel","August",2016,"2","0","TA/TO","Group"
"Resort Hotel","July",2016,"233","44","TA/TO","Transient"
"City Hotel","July",2017,"64","9","Corporate","Transient"
"Resort Hotel","September",2015,"1","0","Direct","Transient"
"City Hotel","December",2015,"54","3","Corporate","Transient"
"City Hotel","August",2015,"35","18","Corporate","Transient"
"City Hotel","January",2016,"17","11","TA/TO","Contract"
"City Hotel","May",2017,"62","6","Corporate","Transient-Party"
"City Hotel","February",2016,"183","183","TA/TO","Transient"
"Resort Hotel","January",2016,"207","6","Direct","Transient"
"City Hotel","January",2017,"177","103","Corporate","Transient"
"City Hotel","December",2016,"1","0","TA/TO","Transient-Party"
"Resort Hotel","April",2016,"5","0","Corporate","Transient"
"Resort Hotel","April",2017,"289","59","TA/TO","Transient-Party"
"Resort Hotel","November",2016,"10","2","Direct","Transient"
"City Hotel","November",2015,"25","1","Corporate","Transient-Party"
"City Hotel","June",2017,"2","0","TA/TO","Contract"
"Resort Hotel","November",2015,"4","3","Corporate","Contract"
"Resort Hotel","July",2017,"1","0","Direct","Transient"
"City Hotel","April",2016,"1","0","Direct","Transient"
"Resort Hotel","June",2017,"6","0","Direct","Transient"
"Resort Hotel","July",2016,"2","0","TA/TO","Transient"
"Resort Hotel","October",2016,"19","0","Direct","Transient-Party"
"City Hotel","February",2017,"15","1","GDS","Transient"
"Resort Hotel","November",2016,"1","0","TA/TO","Group"
"City Hotel","August",2016,"2","0","Direct","Transient"
"Resort Hotel","October",2015,"87","10","TA/TO","Transient-Party"
"City Hotel","September",2016,"197","62","TA/TO","Transient-Party"
"City Hotel","October",2015,"5","3","Corporate","Transient"
"Resort Hotel","May",2016,"1","0","TA/TO","Transient"
"City Hotel","July",2015,"5","1","TA/TO","Transient"
"Resort Hotel","August",2016,"65","3","TA/TO","Contract"
"Resort Hotel","April",2016,"89","6","TA/TO","Transient-Party"
"Resort Hotel","May",2017,"2","0","TA/TO","Group"
"City Hotel","January",2017,"256","41","TA/TO","Transient-Party"
"Resort Hotel","April",2017,"21","2","Corporate","Transient-Party"
"City Hotel","July",2017,"244","66","TA/TO","Transient-Party"
"Resort Hotel","December",2016,"187","26","Direct","Transient"
"Resort Hotel","November",2016,"5","0","TA/TO","Transient"
"City Hotel","April",2017,"3","3","Corporate","Transient"
"City Hotel","July",2017,"2","0","TA/TO","Contract"
"City Hotel","December",2016,"1","0","Direct","Transient"
"Resort Hotel","November",2016,"70","4","Corporate","Transient"
"City Hotel","September",2015,"1","0","Direct","Contract"
"Resort Hotel","March",2017,"96","5","Corporate","Transient"
"City Hotel","July",2016,"11","1","Direct","Transient"
"City Hotel","August",2016,"19","5","TA/TO","Contract"
"City Hotel","November",2016,"20","4","TA/TO","Transient-Party"
"City Hotel","May",2016,"38","38","TA/TO","Transient"
"City Hotel","August",2015,"29","1","Direct","Transient"
"Resort Hotel","June",2017,"1","0","Corporate","Group"
"Resort Hotel","July",2015,"192","38","TA/TO","Transient"
"Resort Hotel","December",2016,"74","13","Direct","Transient-Party"
"Resort Hotel","February",2017,"599","209","TA/TO","Transient"
"City Hotel","March",2016,"5","0","TA/TO","Group"
"City Hotel","May",2016,"9","0","Corporate","Transient"
"City Hotel","October",2016,"12","3","Direct","Transient-Party"
"Resort Hotel","September",2016,"1","1","Direct","Transient"
"City Hotel","April",2017,"1","0","Direct","Group"
"City Hotel","August",2016,"10","0","TA/TO","Transient-Party"
"Resort Hotel","November",2015,"81","9","Corporate","Transient"
"Resort Hotel","July",2017,"1","0","TA/TO","Transient-Party"
"City Hotel","November",2016,"96","77","TA/TO","Transient-Party"
"City Hotel","August",2015,"251","62","TA/TO","Transient"
"City Hotel","May",2017,"21","3","Direct","Transient"
"City Hotel","July",2016,"3","0","Corporate","Transient"
"Resort Hotel","December",2016,"114","29","TA/TO","Transient-Party"
